"Term","Ontology","set.mean","set.size","z.score","genes"
"GO:0051983","regulation of chromosome segregation","BP",19.6603231848052,127,17.2011033904615,"9787;891;699;10403;991;7756;9918;5347;157313;3550;11065;64151;332;4288;7272;10051;983;701;55143;23397;10460;83540;3619;4085;3192;26271;5885;1063;996;11130;57405;9698;29882;11004;8452;9700;57082;5359;9212;10524;54908;10592;60;22933;286053;324;56984;23310;86;6605;9183;1062;54892;9275;55920;147841;7517;51143;6595;9184;4926;6604;25906;10783;51451;9587;51434;1843;10459;84072;84861;8881;8697;29117;55743;6599;8850;6602;9319;6597;83903;990;196528;29781;5925;55795;56852;5977;8379;9274;1459;57520;6601;1457;23137;348654;51776;55055;51529;79677;6598;55274;225689;118471;56155;55755;84101;55781;605;116028;29945;9735;472;6603;7175;8110;8193;8289;8678;23369;51433;51759;55193;57492;64682;339834;100533997"
"GO:0007052","mitotic spindle organization","BP",19.3267318252346,128,16.9082764677381,"9787;891;6790;7415;9055;84722;10403;991;7756;5347;22974;29127;332;3833;7272;24137;3832;55143;9493;10460;79866;29899;83540;3303;3619;3192;10579;5901;10274;3925;57405;9793;1213;440145;9212;5310;25777;10735;387;4751;92421;6491;1062;91782;3304;9126;6867;4926;56647;10783;8658;284403;10769;126731;51652;8766;126353;23636;1639;1104;5116;2316;6905;84142;1263;729440;10671;144165;51119;9371;49856;9639;79598;3837;1778;10039;7283;55201;57562;4733;23332;79884;5524;4204;55726;152185;5119;3796;79187;4605;163786;8086;6683;11200;4134;29082;8243;27175;9525;128866;26073;256364;64946;79643;55835;8480;2801;10540;23172;26065;2009;51115;10726;90990;2770;6795;7175;10464;23122;25978;27243;51510;55125;57132;79998;83541;114327;285643"
"GO:0033047","regulation of mitotic sister chromatid segregation","BP",27.7740460638396,54,16.8827604410785,"891;699;10403;991;7756;5347;3550;332;7272;983;701;55143;83540;3619;4085;3192;26271;5885;1063;11130;57405;57082;9212;10524;54908;324;56984;9183;147841;7517;51143;9184;4926;25906;51451;9587;1843;10459;84861;8850;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175;8678"
"GO:0033046","negative regulation of sister chromatid segregation","BP",28.8924065663077,48,16.6537719479119,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0033048","negative regulation of mitotic sister chromatid segregation","BP",28.8924065663077,48,16.6537719479119,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","BP",28.8924065663077,48,16.6537719479119,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:2000816","negative regulation of mitotic sister chromatid separation","BP",28.8924065663077,48,16.6537719479119,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0007088","regulation of mitotic nuclear division","BP",19.6454959234458,117,16.4899967633801,"9787;891;6790;699;10403;991;7756;5347;157313;3550;11065;332;4288;655;7272;701;55143;51203;79866;83540;3619;4085;26271;5885;1063;11130;57405;23113;995;8452;9700;57082;9212;9585;54908;286053;324;4751;56984;9183;146691;25970;54461;7039;1950;147841;1111;7517;10201;51143;5300;9184;25906;51451;5155;3552;55023;9587;4041;652;51434;23636;1843;28984;10459;1104;10040;84861;8881;9088;8697;8877;27085;9319;83903;5925;55795;26013;685;3643;998;255324;8379;83987;10419;1906;3553;348654;55055;51529;23363;2069;118471;56155;55755;9820;84101;1761;55512;57026;858;9735;472;940;1613;1814;1908;2253;3209;3479;3481;5159;7124;7175;51433;54998;286151"
"GO:0051985","negative regulation of chromosome segregation","BP",28.3453812023451,49,16.4614814489311,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;55743;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","BP",28.3453812023451,49,16.4614814489311,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;55743;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:1905819","negative regulation of chromosome separation","BP",28.3453812023451,49,16.4614814489311,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;55743;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0007094","mitotic spindle assembly checkpoint signaling","BP",28.7094188090352,46,16.1838020327479,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0071173","spindle assembly checkpoint signaling","BP",28.7094188090352,46,16.1838020327479,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0071174","mitotic spindle checkpoint signaling","BP",28.7094188090352,46,16.1838020327479,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0045839","negative regulation of mitotic nuclear division","BP",26.3573673623755,56,16.1818305496121,"891;699;10403;991;7756;5347;3550;332;655;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;9212;54908;324;56984;9183;146691;147841;1111;7517;10201;51143;9184;25906;51451;9587;652;1843;10459;10040;84861;27085;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175;54998"
"GO:0031577","spindle checkpoint signaling","BP",28.1430091265481,47,15.9887560471501,"891;699;10403;991;7756;5347;3550;332;7272;701;55143;83540;3619;4085;1063;11130;57405;57082;9212;54908;324;56984;9183;147841;7517;51143;9184;25906;51451;9587;1843;10459;84861;55743;9319;83903;55795;8379;348654;55055;118471;56155;55755;84101;9735;472;7175"
"GO:0000280","nuclear division","BP",11.5060064559031,428,15.5797073866416,"9787;891;6790;699;9055;84722;10403;991;7756;7153;10615;54443;9918;5347;157313;22974;57820;3550;29127;11065;64151;332;2491;4288;9133;3833;655;7272;24137;10051;3832;983;701;55143;9493;23397;51203;9232;56907;79866;1164;83540;3303;3619;7155;4085;3192;26271;90417;5885;8815;22919;1063;80198;5901;259266;9928;10274;3835;11130;54456;7013;57405;23113;5518;54820;11004;995;8452;9700;57082;811;10097;91272;1027;6196;440145;9212;9585;10524;80010;54908;10592;22933;286053;146909;10735;1060;387;324;4751;56984;151648;81930;3306;5719;55706;23310;10096;25936;92421;9183;8900;5728;8467;146691;9665;10919;283489;1062;91782;25970;3304;54892;27338;55968;9126;54461;284071;192670;137886;4882;7039;1950;147841;1111;7517;63979;10201;51143;2072;6152;5000;994;5300;9184;4926;25906;3622;56647;2177;51451;2175;5155;3552;55023;126731;55810;51652;10600;9587;83990;4041;8766;10635;23236;652;10111;51434;126353;113130;23636;1843;28984;7474;10459;1104;84072;2316;4781;130951;54984;10040;9134;84142;84861;8881;9088;729440;5892;4774;5902;8697;144165;79003;54617;8877;55743;54361;378708;7589;9371;27085;49856;8850;9639;1642;9897;4361;200942;9319;79598;84501;81929;3976;57697;25788;3837;10388;83903;84930;10270;10609;8438;84687;5888;29781;7283;64793;5925;55795;22887;23141;26013;9150;10361;685;3643;998;255324;8379;8556;898;79980;256006;83987;4733;148362;11022;56603;81620;4603;10419;116138;23332;23063;11331;201254;79884;7917;1906;11044;126549;25879;164045;254528;84464;10300;152185;3553;7329;5119;3796;148479;348654;29893;5890;4605;84057;9633;55063;81565;4487;197342;55055;26993;8086;6683;11200;64105;51547;8555;100130958;51529;23363;27030;29082;5810;8243;27175;221035;225689;2069;118471;80346;9525;56155;285498;55755;128866;1028;9820;158401;147872;26073;256364;84101;79643;129563;1761;4488;10734;79173;2801;7273;23212;10540;7314;23172;245711;55512;57026;858;23304;26065;5889;51115;10726;27436;27183;146956;90990;9735;84215;472;675;676;940;1613;1731;1814;1908;2059;2253;2827;3209;3479;3481;3834;4292;4438;4439;4762;5139;5159;6795;6847;7124;7175;7320;8678;9031;9985;10018;10464;10744;11077;11105;11144;23122;23353;23626;25836;25858;25978;27243;50511;51343;51433;51510;51759;54514;54998;55124;55125;55844;56154;56158;56159;56776;56979;57132;63946;79703;79998;83447;84944;91646;93426;122402;124817;136991;138474;143471;146212;150365;166863;168448;221711;256126;283129;283847;285643;286151;317761;339345;339834;346673;347688;387893;388553;391714;400629;494551;643376;644186;100507650;101928601"
"GO:0007051","spindle organization","BP",15.1441577576175,199,15.471511770726,"9787;891;6790;7415;9055;84722;10403;991;7756;10615;5347;22974;29127;332;9133;3833;7272;24137;3832;55143;9493;203068;10460;79866;29899;83540;3303;3619;3192;10579;26271;90417;7405;22919;5901;259266;10274;3925;57405;153241;5518;9793;9700;55857;1213;440145;9212;26054;5310;25777;10735;387;4751;115106;10910;92421;5728;114791;6491;1062;91782;440270;3304;9126;93323;6867;4926;56647;10783;8658;284403;10769;126731;51652;8766;22924;126353;23636;81027;1639;23015;7430;1104;26112;5116;2316;6188;6905;84142;1263;2959;80254;729440;10671;144165;54617;51119;9371;55521;49856;9639;1642;55722;9897;128153;79598;29901;3837;84445;1778;10039;1453;7283;55201;10982;57562;4733;1107;9611;23332;79884;25879;5524;10426;4204;55726;152185;5119;3796;79187;27229;4605;163786;3985;54930;8086;6683;11200;4134;29082;8243;27175;225689;54801;9525;79441;6047;128866;147872;26073;256364;64946;79643;55142;55835;8480;2801;10636;10540;23172;55559;26065;2009;51115;10726;79000;90990;1739;23354;546;1731;2770;4292;4627;6795;7175;8841;10464;10844;11076;23122;25978;27243;28989;51510;55125;57132;57519;79998;83541;85378;114327;140609;283768;285643;347688;653061;729786;100132979"
"GO:0051784","negative regulation of nuclear division","BP",23.7245180240628,63,15.1721552989887,"891;699;10403;991;7756;5347;3550;332;655;7272;701;55143;83540;3619;4085;26271;5885;1063;11130;57405;57082;6196;9212;54908;324;56984;9183;146691;147841;1111;7517;10201;51143;9184;25906;51451;9587;652;1843;10459;84072;10040;84861;27085;9319;3976;83903;55795;8379;348654;55055;5810;118471;56155;55755;84101;1761;9735;472;7175;54998;286151;339345"
"GO:0033045","regulation of sister chromatid segregation","BP",19.3769337329396,102,15.1309791063332,"9787;891;699;10403;991;7756;5347;3550;11065;332;7272;983;701;55143;10460;83540;3619;4085;3192;26271;5885;1063;996;11130;57405;29882;8452;9700;57082;9212;10524;54908;60;286053;324;56984;86;6605;9183;1062;9275;147841;7517;51143;6595;9184;4926;6604;25906;10783;51451;9587;51434;1843;10459;84861;8881;8697;29117;55743;6599;8850;6602;9319;6597;83903;990;196528;5925;55795;5977;8379;9274;57520;6601;348654;51776;55055;51529;6598;55274;225689;118471;56155;55755;84101;55781;605;116028;29945;9735;472;6603;7175;8110;8193;8289;8678;51433;55193;57492;64682"
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","BP",20.0109195008048,93,15.0284073714044,"9787;891;699;10403;991;7756;5347;3550;11065;332;7272;701;55143;10460;83540;3619;4085;26271;5885;1063;996;11130;57405;29882;8452;9700;57082;9212;54908;60;286053;324;56984;86;6605;9183;1062;9275;147841;7517;51143;6595;9184;6604;25906;10783;51451;9587;51434;1843;10459;84861;8881;8697;29117;6599;6602;9319;6597;83903;990;196528;5925;55795;5977;8379;9274;57520;6601;348654;51776;55055;51529;6598;55274;118471;56155;55755;84101;55781;605;29945;9735;472;6603;7175;8110;8193;8289;51433;55193;57492;64682"
"GO:0005819","spindle","CC",11.249450956175,424,14.9954761497732,"10112;9787;3161;891;6790;9055;84722;991;7756;10615;5347;22974;3550;29127;81610;332;8655;150468;3833;10383;7272;24137;3832;26586;983;701;9657;801;55143;9493;51203;203068;10460;10928;51335;79866;29899;1894;11335;3619;989;4085;24139;3192;26271;90417;51473;5885;22919;1063;996;79801;51562;259266;9928;10274;9181;11064;1452;3835;7013;348235;54820;11004;9793;8452;805;9700;808;91272;1213;56992;57805;6196;440145;9212;9585;10524;9113;11083;54908;201163;3315;22933;5594;11258;79718;146909;10735;28964;4751;5303;115106;3297;151648;81930;84080;7178;150275;3306;23384;403;10899;25936;92421;9183;55856;1810;282809;114791;1211;10382;4281;55732;283489;7803;56271;1062;91782;5607;221150;6907;5423;9126;55920;79902;207;1729;93323;134492;137886;644943;127829;51143;10210;10381;221496;84440;994;55112;4926;65263;26009;4735;79095;54888;351;56647;10783;8658;2010;292;284403;10769;126731;51652;9587;10296;55177;8766;4869;5515;10951;112869;64210;22924;51434;126353;90799;79649;23636;22832;81027;1639;1499;10459;65125;79184;55614;26112;51199;6871;1432;6188;54984;284001;84861;1263;145508;8881;80254;8517;8317;4739;93627;166378;8502;10474;79003;54617;162282;51119;80097;9371;4957;49856;8850;6993;84617;128153;85302;29901;83903;23255;1540;990;8409;25886;5311;57542;1453;7283;64793;5925;23568;9150;55201;151393;1663;998;8379;10982;11073;8556;79980;55200;51637;3174;5048;84541;9611;23332;51164;23063;26206;79884;9859;51646;57520;79848;311;10426;3636;347733;85459;55207;10300;152185;79768;5119;3796;57448;84056;27229;1877;2908;9391;11104;123872;51647;9903;81565;9731;9094;57553;55055;3985;54930;1780;27130;11243;4117;8086;6683;4134;10129;8555;79677;23035;121441;29082;80216;8243;27175;225689;55689;54801;84140;9525;84259;55755;79441;128866;147872;26073;642273;256364;84101;79643;153657;55142;79969;55700;2035;6623;23157;8480;55171;2801;653784;10636;23331;7280;23172;80817;51490;252969;143;822;150465;2017;10101;83473;7840;55559;89765;26065;8874;2009;23005;2068;220134;51115;10726;27436;27183;79000;9857;90990;255758;9735;6990;22920;112755;23354;472;827;1400;1731;2648;2669;2877;3579;4033;4064;4627;5314;5516;5778;5905;6569;6795;7029;7175;7813;8218;8841;10017;10844;10927;11076;11091;11127;11186;23122;23170;25978;26524;27243;27339;50852;51433;51510;54959;55183;55262;56776;57132;57325;57509;60509;79029;79101;79541;79998;83541;84902;84942;84984;85378;114327;124404;140609;158511;168448;199953;201161;252839;253012;260334;341019;347688;391714;402569"
"GO:2001251","negative regulation of chromosome organization","BP",19.83699970579,94,14.9483275568824,"891;699;10403;991;7756;7153;5347;3550;332;80119;7272;701;55143;3178;83540;3619;4085;3192;26271;5885;1063;10923;3183;11130;5394;7013;57405;142;9700;57082;9212;54908;3020;324;80169;65057;56984;4331;9183;8467;6714;64282;54386;147841;7517;51143;2072;9184;100134934;25906;8658;51451;6419;9587;55226;10111;1843;10459;548593;54984;84861;7515;167227;9319;80351;83903;3021;55795;8379;4683;23063;84464;348654;2067;55055;118471;56155;7014;55755;84101;9735;472;546;7175;8260;9031;23293;25913;26277;51750;54464;54552;79008;79991"
