"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"KBTBD4","SHMT2","SHQ1","","","","SHMT2","RDX","","","","","SHQ1","","LONP2","","","","","","","","","","","","","","","","","","","","","","","","","","","TGFB2","SEC24B","","","","THOC7","","","","","KRT10","SERPINE2","MBNL1-AS1","","","LAS1L","SLC23A2","MEIS1","","","KCNH7","RHEBL1","LPCAT3","",""
"KBTBD7","SHQ1","SIAH2","","","","SHQ1","RECQL5","","","","","SIAH2","","LONRF1","","","","","","","","","","","","","","","","","","","","","","","","","","","TGFBR2","SEC24C","","","","TICAM2","","","","","KRT18","SERPINH1","MC1R","","","LASP1","SLC25A34","MEIS2","","","KCNIP3","RHOA","LPIN1","",""
"KCMF1","SIAH2","SIGIRR","","","","SIAH2","RETSAT","","","","","SIGIRR","","LONRF3","","","","","","","","","","","","","","","","","","","","","","","","","","","THRAP3","SEC24D","","","","TIMM13","","","","","KRT7","SETD7","MCFD2","","","LATS1","SLC31A1","MELK","","","KCNJ14","RIC8B","LPP-AS2","",""
"KCNB1","SIGIRR","SIM1","","","","SIGIRR","RFTN1","","","","","SIM1","","LPAR1","","","","","","","","","","","","","","","","","","","","","","","","","","","THRSP","SEC61B","","","","TIMM8B","","","","","KRT8","SEZ6L2","MCM10","","","LBH","SLC35C2","MEN1","","","KCNJ5","RIOK3","LRAT","",""
"KCND1","SIGMAR1","SIM2","","","","SIGMAR1","RGS19","","","","","SIM2","","LPCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","TICAM2","SEC62","","","","TJP1","","","","","KRTAP5-AS1","SF3A1","MCM3","","","LBR","SLC35E1","MEOX1","","","KCNK2","RIPK2","LRATD2","",""
"KCNG1","SIM1","SKA3","","","","SIM1","RGS7BP","","","","","SKA3","","LPCAT2","","","","","","","","","","","","","","","","","","","","","","","","","","","TJP1","SEC63","","","","TKT","","","","","KSR1","SF3B1","MCM4","","","LCN2","SLC35F6","MERTK","","","KCNT2","RIPOR1","LRP1","",""
"KCNH7","SIRT2","SKAP2","","","","SIRT2","RHBDD1","","","","","SKAP2","","LPCAT3","","","","","","","","","","","","","","","","","","","","","","","","","","","TKT","SELENOT","","","","TLE2","","","","","LACC1","SF3B5","MCM5","","","LDAH","SLC38A9","MESD","","","KCNV1","RNF114","LRR1","",""
"KCNIP3","SKP1","SKIDA1","","","","SKP1","RHEBL1","","","","","SKIDA1","","LPIN1","","","","","","","","","","","","","","","","","","","","","","","","","","","TLR6","SEMA3F","","","","TLR6","","","","","LAMB2","SFRP1","MCM6","","","LDHB","SLC41A1","METTL14","","","KCTD13","RNF144B","LRRC17","",""
"KCNJ14","SLC11A2","SKP1","","","","SLC11A2","RHOA","","","","","SKP1","","LPP-AS2","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM100","SEMA5A","","","","TM9SF4","","","","","LAMP3","SGO2","MCRIP1","","","LDLR","SLC43A1","METTL22","","","KCTD15","RNF166","LRRC20","",""
"KCNJ5","SLC12A8","SLC12A7","","","","SLC12A8","RIC8B","","","","","SLC12A7","","LRAT","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM11","SEMA6A","","","","TMA16","","","","","LAMTOR4","SGSM2","MCTS1","","","LDLRAD3","SLC4A1AP","METTL4","","","KCTD16","RNF180","LRRC45","",""
"KCNK2","SLC16A1-AS1","SLC12A8","","","","SLC16A1-AS1","RIOK3","","","","","SLC12A8","","LRATD2","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM115","SENP6","","","","TMEM11","","","","","LAMTOR5","SH2B1","MDC1","","","LDOC1","SLC4A8","METTL5","","","KCTD21","RNF187","LRRC8C","",""
"KCNT2","SLC18B1","SLC16A1-AS1","","","","SLC18B1","RIPK2","","","","","SLC16A1-AS1","","LRP1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM14A","SEPHS2","","","","TMEM115","","","","","LARP7","SHFL","MDFI","","","LEO1","SLC6A11","METTL6","","","KCTD3","RNF216","LRRC8D","",""
"KCNV1","SLC1A4","SLC18B1","","","","SLC1A4","RIPOR1","","","","","SLC18B1","","LRR1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM160","SEPSECS","","","","TMEM132D-AS1","","","","","LAS1L","SHISA5","MDH1","","","LEPR","SLC6A15","METTL8","","","KCTD9","RNF26","LRRFIP1","",""
"KCTD13","SLC1A5","SLC1A4","","","","SLC1A5","RNF114","","","","","SLC1A4","","LRRC17","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM167B","SEPTIN2","","","","TMEM160","","","","","LASP1","SHISA9","MDM4","","","LETMD1","SLC7A5","MFAP1","","","KDF1","RNF41","LRRFIP2","",""
"KCTD15","SLC23A2","SLC1A5","","","","SLC23A2","RNF144B","","","","","SLC1A5","","LRRC20","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM182","SERP1","","","","TMEM181","","","","","LATS1","SHLD2","ME1","","","LFNG","SLC9A1","MFN1","","","KDM1A","ROCK1P1","LRRTM1","",""
"KCTD16","SLC25A34","SLC22A15","","","","SLC25A34","RNF166","","","","","SLC22A15","","LRRC45","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM232","SERPINB8","","","","TMEM222","","","","","LBH","SHQ1","ME2","","","LGALS1","SLIRP","MFSD1","","","KDM3A","RORA","LSM14B","",""
"KCTD21","SLC31A1","SLC23A3","","","","SLC31A1","RNF180","","","","","SLC23A3","","LRRC8C","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM258","SF3B2","","","","TMEM232","","","","","LBR","SIAH2","MED1","","","LGALS7","SMARCD3","MFSD14A","","","KDM4A","RPAP3","LSS","",""
"KCTD3","SLC35C2","SLC25A10","","","","SLC35C2","RNF187","","","","","SLC25A10","","LRRC8D","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM260","SF3B3","","","","TMEM258","","","","","LCN2","SIGIRR","MED28","","","LGR4","SMARCE1","MGAT3","","","KDM5C","RPL10A","LTB4R","",""
"KCTD9","SLC35E1","SLC25A12","","","","SLC35E1","RNF216","","","","","SLC25A12","","LRRFIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM33","SF3B4","","","","TMEM260","","","","","LDAH","SIGMAR1","MED31","","","LHFPL6","SMC3","MGAT5B","","","KDSR","RPL15","LTB4R2","",""
"KDF1","SLC35F6","SLC25A24","","","","SLC35F6","RNF26","","","","","SLC25A24","","LRRFIP2","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM38A","SFN","","","","TMEM33","","","","","LDHA","SIM1","MED4","","","LHX6","SMC4","MGLL","","","KHDC4","RPL21","LTBP1","",""
"KDM1A","SLC38A9","SLC25A3","","","","SLC38A9","RNF41","","","","","SLC25A3","","LRRTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM41A","SFXN1","","","","TMEM38A","","","","","LDHB","SIRT2","MED6","","","LIG3","SMIM10L1","MGST1","","","KHDRBS1","RPL23","LTBP4","",""
"KDM3A","SLC3A2","SLC25A34","","","","SLC3A2","ROCK1P1","","","","","SLC25A34","","LSM14B","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM43","SFXN3","","","","TMEM41A","","","","","LDLR","SKP1","MED8","","","LIME1","SMS","MGST2","","","KHDRBS3","RPL24","LTBR","",""
"KDM4A","SLC41A1","SLC25A36","","","","SLC41A1","RORA","","","","","SLC25A36","","LSS","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM68","SGCG","","","","TMEM63B","","","","","LDLRAD3","SLC11A2","MEF2A","","","LIMS2","SMTN","MIA2","","","KIAA1549L","RPL27A","LTO1","",""
"KDM5C","SLC43A1","SLC25A40","","","","SLC43A1","RPAP3","","","","","SLC25A40","","LTB4R","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM70","SGF29","","","","TMEM67","","","","","LDOC1","SLC12A2-DT","MEF2D","","","LIN37","SNAPIN","MIB2","","","KIAA1671","RPL3","LUCAT1","",""
"KDSR","SLC4A1AP","SLC26A7","","","","SLC4A1AP","RPL10A","","","","","SLC26A7","","LTB4R2","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM86B","SGO1","","","","TMEM69","","","","","LEO1","SLC16A1-AS1","MEIS1","","","LINC00052","SNHG20","MICAL2","","","KIF11","RPL31","LURAP1L","",""
"KHDC4","SLC4A8","SLC2A12","","","","SLC4A8","RPL15","","","","","SLC2A12","","LTBP1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMEM87A","SGPL1","","","","TMEM70","","","","","LEPR","SLC18B1","MEIS2","","","LINC00665","SNHG32","MICALL1","","","KIF13A","RPL34","LURAP1L-AS1","",""
"KHDRBS1","SLC6A11","SLC31A1","","","","SLC6A11","RPL21","","","","","SLC31A1","","LTBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","TMPO-AS1","SGTB","","","","TMEM86B","","","","","LETMD1","SLC23A2","MELK","","","LINC00869","SNPH","MID1","","","KIF14","RPL35A","LUZP1","",""
"KHDRBS3","SLC6A15","SLC35C2","","","","SLC6A15","RPL23","","","","","SLC35C2","","LTBR","","","","","","","","","","","","","","","","","","","","","","","","","","","TMPRSS15","SH2B3","","","","TMPRSS15","","","","","LFNG","SLC25A34","MEN1","","","LINC01138","SNRNP25","MID2","","","KIF15","RPL36AL","LY75","",""
"KIAA1549L","SLC6A9","SLC35F6","","","","SLC6A9","RPL24","","","","","SLC35F6","","LTO1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMSB10","SH2D3A","","","","TMSB10","","","","","LGALS1","SLC31A1","MEOX1","","","LINC01278","SNRNP35","MIIP","","","KIF18A","RPL5","LYPLA1","",""
"KIAA1671","SLC7A1","SLC39A10","","","","SLC7A1","RPL27A","","","","","SLC39A10","","LUCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMSB4X","SH3BGRL","","","","TMSB4X","","","","","LGALS7","SLC35C2","MERTK","","","LINC02035","SNRNP70","MINDY2","","","KIF18B","RPL7","LZTS3","",""
"KIF11","SLC7A11","SLC3A2","","","","SLC7A11","RPL3","","","","","SLC3A2","","LURAP1L","","","","","","","","","","","","","","","","","","","","","","","","","","","TMT1A","SH3BGRL2","","","","TMUB2","","","","","LGR4","SLC35E1","MESD","","","LINC02303","SNRPA1","MIR1915HG","","","KIF1A","RPL7A","MACROD1","",""
"KIF13A","SLC7A5","SLC43A1","","","","SLC7A5","RPL31","","","","","SLC43A1","","LURAP1L-AS1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMUB2","SH3BP2","","","","TMX3","","","","","LHFPL6","SLC35F6","METAP2","","","LINC02864","SNRPB","MIR22HG","","","KIF20A","RPP38","MAD2L1","",""
"KIF14","SLC9A1","SLC4A1AP","","","","SLC9A1","RPL34","","","","","SLC4A1AP","","LUZP1","","","","","","","","","","","","","","","","","","","","","","","","","","","TMX1","SH3BP5L","","","","TNFAIP2","","","","","LHX6","SLC38A9","METTL14","","","LINC02901","SNRPB2","MIR99AHG","","","KIF20B","RPS23","MAD2L2","",""
"KIF15","SLIRP","SLC4A8","","","","SLIRP","RPL35A","","","","","SLC4A8","","LY75","","","","","","","","","","","","","","","","","","","","","","","","","","","TMX3","SH3D19","","","","TNFAIP6","","","","","LIG3","SLC41A1","METTL22","","","LINC02944","SNRPD1","MIS18BP1","","","KIF21B","RPS25","MAFF","",""
"KIF18A","SMARCE1","SLC6A15","","","","SMARCE1","RPL36AL","","","","","SLC6A15","","LYPLA1","","","","","","","","","","","","","","","","","","","","","","","","","","","TNFAIP6","SH3GLB1","","","","TNFSF14","","","","","LIME1","SLC4A1AP","METTL4","","","LINGO2","SNRPD3","MKI67","","","KIF22","RPS3A","MAFG","",""
"KIF18B","SMC3","SLC6A9","","","","SMC3","RPL5","","","","","SLC6A9","","LZTS3","","","","","","","","","","","","","","","","","","","","","","","","","","","TNFRSF10A","SH3PXD2A","","","","TNIP3","","","","","LIMS2","SLC4A8","METTL5","","","LIPH","SNRPF","MKNK2","","","KIF23","RPS6KA2","MAGED1","",""
"KIF1A","SMC4","SLC7A1","","","","SMC4","RPL7","","","","","SLC7A1","","MACROD1","","","","","","","","","","","","","","","","","","","","","","","","","","","TNFSF14","SH3RF2","","","","TNKS","","","","","LIN37","SLC6A11","METTL6","","","LITATS1","SNRPG","MKX","","","KIF2C","RPS7","MAGEE1","",""
"KIF20A","SMIM10L1","SLC7A11","","","","SMIM10L1","RPL7A","","","","","SLC7A11","","MAD2L1","","","","","","","","","","","","","","","","","","","","","","","","","","","TNIP1","SH3TC1","","","","TNKS1BP1","","","","","LINC00052","SLC6A15","METTL8","","","LIX1","SNW1","MLEC","","","KIF4A","RRAGA","MAGI3","",""
"KIF20B","SMS","SLC7A5","","","","SMS","RPP38","","","","","SLC7A5","","MAD2L2","","","","","","","","","","","","","","","","","","","","","","","","","","","TNIP2","SHCBP1","","","","TNXB","","","","","LINC00662","SLC6A9","MFAP1","","","LMCD1","SNX19","MLLT3","","","KIF5C","RRP36","MAGT1","",""
"KIF21B","SMTN","SLC9A1","","","","SMTN","RPS23","","","","","SLC9A1","","MAFF","","","","","","","","","","","","","","","","","","","","","","","","","","","TNKS","SHMT1","","","","TOP3B","","","","","LINC00665","SLC7A5","MFN1","","","LMNA","SNX2","MMACHC","","","KIF7","RSBN1","MAL2","",""
"KIF22","SNAPIN","SLCO4A1","","","","SNAPIN","RPS25","","","","","SLCO4A1","","MAFG","","","","","","","","","","","","","","","","","","","","","","","","","","","TNRC6B","SHPK","","","","TOR1B","","","","","LINC00869","SLC9A1","MFSD1","","","LMNB1","SNX24","MOB3B","","","KIFBP","RSKR","MAMDC2","",""
"KIF23","SNHG29","SLFN5","","","","SNHG29","RPS3A","","","","","SLFN5","","MAGED1","","","","","","","","","","","","","","","","","","","","","","","","","","","TNS3","SIAH1","","","","TP53","","","","","LINC01138","SLIRP","MFSD14A","","","LMNB2","SNX6","MOCOS","","","KIFC1","RSRC1","MAMDC4","",""
"KIF2C","SNHG32","SMAD7","","","","SNHG32","RPS6KA2","","","","","SMAD7","","MAGEE1","","","","","","","","","","","","","","","","","","","","","","","","","","","TOM1L2","SIM2","","","","TPI1","","","","","LINC01145","SMARCD3","MFSD5","","","LMO3","SOCS4","MORC4","","","KIT","RSRC2","MAN1A1","",""
"KIF4A","SNPH","SMARCA5","","","","SNPH","RPS7","","","","","SMARCA5","","MAGI3","","","","","","","","","","","","","","","","","","","","","","","","","","","TOP3B","SKA2","","","","TPK1","","","","","LINC01278","SMARCE1","MGAT2","","","LMO7","SOCS7","MORF4L1","","","KLC2","RTCB","MAN2A2","",""
"KIF5C","SNRNP25","SMC2","","","","SNRNP25","RRAGA","","","","","SMC2","","MAGT1","","","","","","","","","","","","","","","","","","","","","","","","","","","TOX","SKA3","","","","TPP1","","","","","LINC02035","SMC3","MGAT3","","","LNP1","SOD1","MORF4L2","","","KLF15","RTN4RL2","MAN2B1","",""
"KIF7","SNRNP35","SMC4","","","","SNRNP35","RRP36","","","","","SMC4","","MAL2","","","","","","","","","","","","","","","","","","","","","","","","","","","TPK1","SKAP2","","","","TRA2B","","","","","LINC02303","SMC4","MGAT5B","","","LOC100996643","SOD2","MORN3","","","KLF2","RUNX2","MANBAL","",""
"KIFBP","SNRNP70","SMIM10L1","","","","SNRNP70","RSBN1","","","","","SMIM10L1","","MAMDC2","","","","","","","","","","","","","","","","","","","","","","","","","","","TRAK1","SKIDA1","","","","TRAF7","","","","","LINC02864","SMIM10L1","MGLL","","","LOC102723475","SORCS1","MOSPD1","","","KLF4","RUSC1","MANEA","",""
"KIFC1","SNRPA1","SMOX","","","","SNRPA1","RSKR","","","","","SMOX","","MAMDC4","","","","","","","","","","","","","","","","","","","","","","","","","","","TRAPPC10","SKP2","","","","TRAK1","","","","","LINC02901","SMS","MGST2","","","LOC102724250","SOSTDC1","MOV10L1","","","KLF9","RUSC2","MANF","",""
"KIT","SNRPB","SMS","","","","SNRPB","RSRC1","","","","","SMS","","MAN1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","TRHDE","SLC12A7","","","","TRAM1L1","","","","","LINC02944","SMTN","MIA2","","","LOC103344931","SOX17","MPDZ","","","KLHDC7B","S100A10","MAP1A","",""
"KLC2","SNRPB2","SMTN","","","","SNRPB2","RSRC2","","","","","SMTN","","MAN2A2","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM2","SLC16A5","","","","TRIB2","","","","","LINGO2","SNAPIN","MIB2","","","LOC107984948","SOX2","MPHOSPH10","","","KLHDC8A","S100A14","MAP1B","",""
"KLF15","SNRPD1","SND1","","","","SNRPD1","RTCB","","","","","SND1","","MAN2B1","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM21","SLC20A1","","","","TRIM10","","","","","LIPH","SNHG20","MICAL2","","","LOC107986954","SPA17","MPP2","","","KLHL13","SAA1","MAP1LC3B","",""
"KLF2","SNRPD3","SNHG17","","","","SNRPD3","RTN4RL2","","","","","SNHG17","","MANBAL","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM24","SLC22A15","","","","TRIM2","","","","","LITATS1","SNPH","MICALL1","","","LOC122319436","SPAG5","MPST","","","KLHL14","SAAL1","MAP2","",""
"KLF4","SNRPF","SNHG29","","","","SNRPF","RUNX2","","","","","SNHG29","","MANEA","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM29","SLC23A3","","","","TRIM21","","","","","LIX1","SNRNP25","MID1","","","LOC124900275","SPAG7","MRI1","","","KLHL25","SAFB","MAP2K5","",""
"KLF9","SNRPG","SNHG32","","","","SNRPG","RUSC1","","","","","SNHG32","","MANF","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM35","SLC25A10","","","","TRIM29","","","","","LMCD1","SNRNP35","MID1IP1","","","LOC124902947","SPATA2","MRNIP","","","KLHL36","SAMD10","MAP3K1","",""
"KLHDC7B","SNTB1","SNHG7","","","","SNTB1","RUSC2","","","","","SNHG7","","MAP1A","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM37","SLC25A12","","","","TRIM35","","","","","LMNA","SNRNP70","MID2","","","LOC128125822","SPATS2L","MRPL11","","","KMT2D","SAMD12","MAP3K3","",""
"KLHDC8A","SNW1","SNRNP25","","","","SNW1","S100A10","","","","","SNRNP25","","MAP1B","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM39","SLC25A20","","","","TRIM37","","","","","LMNB1","SNRPA1","MIIP","","","LOC284798","SPC25","MRPL13","","","KMT5B","SAMD4B","MAP3K6","",""
"KLHL13","SNX19","SNRNP35","","","","SNX19","S100A14","","","","","SNRNP35","","MAP1LC3B","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM5","SLC25A24","","","","TRIM39","","","","","LMNB2","SNRPB","MINDY2","","","LOC442041","SPCS3","MRPL16","","","KNL1","SAMM50","MAP4K4","",""
"KLHL14","SNX2","SNRNP70","","","","SNX2","SAA1","","","","","SNRNP70","","MAP2","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM56","SLC25A3","","","","TRIM56","","","","","LMO3","SNRPB2","MIR1915HG","","","LOC652276","SPDL1","MRPL20","","","KNOP1","SAP18","MAPK1","",""
"KLHL25","SNX6","SNRPB","","","","SNX6","SAAL1","","","","","SNRPB","","MAP2K5","","","","","","","","","","","","","","","","","","","","","","","","","","","TRIM59","SLC25A33","","","","TRIM59","","","","","LMO7","SNRPD1","MIR22HG","","","LONRF2","SPECC1L","MRPL27","","","KNSTRN","SAP30","MAPK6","",""
"KLHL36","SOCS4","SNRPB2","","","","SOCS4","SAFB","","","","","SNRPB2","","MAP3K1","","","","","","","","","","","","","","","","","","","","","","","","","","","TRMT2B","SLC25A36","","","","TRMT10A","","","","","LNP1","SNRPD3","MIR99AHG","","","LONRF3","SPIRE1","MRPL30","","","KPNA2","SAPCD2","MAPK8IP1","",""
"KMT2D","SOCS7","SNRPD1","","","","SOCS7","SAMD10","","","","","SNRPD1","","MAP3K3","","","","","","","","","","","","","","","","","","","","","","","","","","","TRNAU1AP","SLC25A38","","","","TRMT2B","","","","","LOC100996643","SNRPF","MIS18BP1","","","LOXL1","SPPL2B","MRPL35","","","KPNA3","SARS1","MAPKAPK5","",""
"KMT5B","SOD1","SNRPD3","","","","SOD1","SAMD12","","","","","SNRPD3","","MAP3K6","","","","","","","","","","","","","","","","","","","","","","","","","","","TRPM4","SLC25A40","","","","TRNAU1AP","","","","","LOC102723475","SNRPG","MKI67","","","LPCAT2","SPRED2","MRPL44","","","KRT10","SAV1","MAPRE1","",""
"KNL1","SOD2","SNRPF","","","","SOD2","SAMD4B","","","","","SNRPF","","MAP4K4","","","","","","","","","","","","","","","","","","","","","","","","","","","TRPV6","SLC25A44","","","","TRPM4","","","","","LOC102724250","SNTB1","MKNK2","","","LPCAT3","SPTY2D1","MRPL50","","","KRT18","SCAMP4","MARCHF1","",""
"KNOP1","SON","SNRPG","","","","SON","SAMM50","","","","","SNRPG","","MAPK1","","","","","","","","","","","","","","","","","","","","","","","","","","","TSEN15","SLC25A46","","","","TSC2","","","","","LOC103344931","SNW1","MKX","","","LPGAT1","SQLE","MRPL58","","","KRT7","SCARB2","MARCKSL1","",""
"KNSTRN","SORCS1","SNTB1","","","","SORCS1","SAP18","","","","","SNTB1","","MAPK6","","","","","","","","","","","","","","","","","","","","","","","","","","","TSHR","SLC25A6","","","","TSFM","","","","","LOC107984948","SNX19","MLEC","","","LPIN1","SRC","MRPS10","","","KRT8","SCD","MARF1","",""
"KPNA2","SOSTDC1","SNTB2","","","","SOSTDC1","SAP30","","","","","SNTB2","","MAPK8IP1","","","","","","","","","","","","","","","","","","","","","","","","","","","TSHZ2","SLC26A6","","","","TSHZ2","","","","","LOC107986954","SNX2","MLLT3","","","LPXN","SRSF1","MRPS14","","","KRTAP5-AS1","SCFD2","MARK1","",""
"KPNA3","SOX17","SNX15","","","","SOX17","SAPCD2","","","","","SNX15","","MAPKAPK5","","","","","","","","","","","","","","","","","","","","","","","","","","","TSPAN12","SLC26A7","","","","TSN","","","","","LOC122319436","SNX24","MMACHC","","","LRIF1","SRSF10","MRTFA","","","KSR1","SCMH1","MARK3","",""
"KRT10","SOX2","SNX2","","","","SOX2","SARS1","","","","","SNX2","","MAPRE1","","","","","","","","","","","","","","","","","","","","","","","","","","","TSSC4","SLC2A10","","","","TSSC4","","","","","LOC124900275","SNX6","MOB3B","","","LRMDA","SRSF11","MSC-AS1","","","LACC1","SCN4A","MARS1","",""
"KRT18","SOX5","SNX3","","","","SOX5","SAV1","","","","","SNX3","","MARCHF1","","","","","","","","","","","","","","","","","","","","","","","","","","","TTBK2","SLC2A12","","","","TTBK2","","","","","LOC124902947","SOCS4","MOB4","","","LRP1","SRSF2","MSH2","","","LAMB2","SDC4","MARVELD2","",""
"KRT7","SPA17","SOCS2","","","","SPA17","SCAMP4","","","","","SOCS2","","MARCKSL1","","","","","","","","","","","","","","","","","","","","","","","","","","","TTI2","SLC30A2","","","","TTC27","","","","","LOC128125822","SOCS7","MOCOS","","","LRP10","SRSF3","MSH6","","","LAMP3","SDF2L1","MATR3","",""
"KRT8","SPAG5","SOCS7","","","","SPAG5","SCARB2","","","","","SOCS7","","MARF1","","","","","","","","","","","","","","","","","","","","","","","","","","","TTLL11","SLC39A1","","","","TTI2","","","","","LOC284798","SOD1","MORC4","","","LRP8","SRSF7","MSI2","","","LAMTOR4","SDHC","MBD1","",""
"KRTAP5-AS1","SPATA2","SOD1","","","","SPATA2","SCD","","","","","SOD1","","MARK1","","","","","","","","","","","","","","","","","","","","","","","","","","","TTPAL","SLC39A10","","","","TTLL11","","","","","LOC442041","SOD2","MORF4L1","","","LRRC17","SRXN1","MSMO1","","","LAMTOR5","SDHD","MBD6","",""
"KSR1","SPATS2L","SON","","","","SPATS2L","SCFD2","","","","","SON","","MARK3","","","","","","","","","","","","","","","","","","","","","","","","","","","TUBA1B","SLC39A14","","","","TUBB3","","","","","LOC652276","SON","MORF4L2","","","LRRC20","SSB","MTA1","","","LARP6","SDSL","MBIP","",""
"LACC1","SPC25","SORCS1","","","","SPC25","SCMH1","","","","","SORCS1","","MARS1","","","","","","","","","","","","","","","","","","","","","","","","","","","TUBB3","SLC39A7","","","","TUBGCP5","","","","","LONRF2","SORCS1","MORN3","","","LRRC61","SSBP1","MTATP6P1","","","LARP7","SEC23IP","MBNL1","",""
"LAMB2","SPCS3","SOSTDC1","","","","SPCS3","SCN4A","","","","","SOSTDC1","","MARVELD2","","","","","","","","","","","","","","","","","","","","","","","","","","","TULP4","SLC50A1","","","","TXNDC17","","","","","LONRF3","SOSTDC1","MOSPD1","","","LRRC8D","SSC4D","MTFR1L","","","LAS1L","SEL1L","MBNL1-AS1","",""
"LAMP3","SPDL1","SOX2","","","","SPDL1","SDC4","","","","","SOX2","","MATR3","","","","","","","","","","","","","","","","","","","","","","","","","","","TWNK","SLC66A1","","","","TXNL1","","","","","LOXL1","SOX17","MOV10L1","","","LRRCC1","SSNA1","MTHFD1","","","LASP1","SEL1L3","MC1R","",""
"LAMTOR4","SPECC1L","SOX5","","","","SPECC1L","SDF2L1","","","","","SOX5","","MBD1","","","","","","","","","","","","","","","","","","","","","","","","","","","TWSG1","SLC7A11-AS1","","","","TXNL4A","","","","","LPCAT2","SOX2","MPDZ","","","LRRK1","ST8SIA4","MTHFSD","","","LATS1","SELENOK","MCFD2","",""
"LAMTOR5","SPIRE1","SPAG5","","","","SPIRE1","SDHC","","","","","SPAG5","","MBD6","","","","","","","","","","","","","","","","","","","","","","","","","","","TXNDC15","SLC7A2","","","","TYK2","","","","","LPCAT3","SOX5","MPHOSPH10","","","LRRTM1","STAG1","MTIF2","","","LBH","SELENON","MCM10","",""
